breathe	breathes	breathing	breathed
desolate	desolates	desolating	desolated
ravage	ravages	ravaging	ravaged
scourge	scourges	scourging	scourged
harry	harries	harrying	harried
emaciate	emaciates	emaciating	emaciated
macerate	macerates	macerating	macerated
enfeeble	enfeebles	enfeebling	enfeebled
debilitate	debilitates	debilitating	debilitated
drain	drains	draining	drained
enervate	enervates	enervating	enervated
damp	damps	damping	damped
shush	shushes	shushing	shushed
dull	dulls	dulling	dulled
cloud	clouds	clouding	clouded
subtilize	subtilizes	subtilizing	subtilized
subtilise	subtilises	subtilising	subtilised
acuminate	acuminates	acuminating	acuminated
flatten	flattens	flattening	flattened
acclimatize	acclimatises	acclimatizing	acclimatized
acclimatise	acclimatises	acclimatising	acclimatised
acclimate	acclimates	acclimating	acclimated
synchronize	synchronizes	synchronizing	synchronized
synchronise	synchronises	synchronising	synchronised
sync	syncs	syncing	synced
phase	phases	phasing	phased
desynchronize	desynchronizes	desynchronizing	desynchronized
desynchronise	desynchronises	desynchronising	desynchronised
blend	blends	blending	blended
flux	fluxes	fluxing	fluxed
conflate	conflates	conflating	conflated
commingle	commingles	commingling	commingled
immix	immixes	immixing	immixed
fuse	fuses	fusing	fused
coalesce	coalesces	coalescing	coalesced
meld	melds	melding	melded
gauge	gauges	gauging	gauged
absorb	absorbs	absorbing	absorbed
conjugate	conjugates	conjugating	conjugated
admix	admixes	admixing	admixed
alloy	alloys	alloying	alloyed
disintegrate	disintegrates	disintegrating	disintegrated
fold	folds	folding	folded
reintegrate	reintegrates	reintegrating	reintegrated
putrefy	putrefies	putrefying	putrefied
magnetize	magnetizes	magnetizing	magnetized
magnetise	magnetises	magnetising	magnetised
demagnetize	demagnetizes	demagnetizing	demagnetized
demagnetise	demagnetises	demagnetising	demagnetised
degauss	degausses	degaussing	degaussed
simplify	simplifies	simplifying	simplified
oversimplify	oversimplifies	oversimplifying	oversimplified
complicate	complicates	complicating	complicated
refine	refines	refining	refined
rarify	rarifies	rarifying	rarified
complexify	complexifies	complexifying	complexified
involve	involves	involving	involved
sophisticate	sophisticates	sophisticating	sophisticated
perplex	perplexes	perplexing	perplexed
snarl	snarls	snarling	snarled
embrangle	embrangles	embrangling	embrangled
snafu	snafues	snafuing	snafued
pressurize	pressurizes	pressurizing	pressurized
pressurise	pressurises	pressurising	pressurised
supercharge	supercharges	supercharging	supercharged
depressurize	depressurizes	depressurizing	depressurized
depressurise	depressurises	depressurising	depressurised
structure	structures	structuring	structured
restructure	restructures	restructuring	restructured
reconstitute	reconstitutes	reconstituting	reconstituted
organize	organizes	organizing	organized
organise	organises	organising	organised
coordinate	coordinates	coordinating	coordinated
interlock	interlocks	interlocking	interlocked
mesh	meshs	meshing	meshed
centralize	centralizes	centralizing	centralized
centralise	centralises	centralising	centralised
decentralize	decentralizes	decentralizing	decentralized
deconcentrate	deconcentrates	deconcentrating	deconcentrated
decentralise	decentralises	decentralising	decentralised
socialize	socializes	socializing	socialized
socialise	socialises	socialising	socialised
prepare	prepares	preparing	prepared
ready	readies	readying	readied
provide	provides	providing	provided
cram	crams	cramming	crammed
precondition	preconditions	preconditioning	preconditioned
mount	mounts	mounting	mounted
rig	rigs	rigging	rigged
winterize	winterizes	winterizing	winterized
winterise	winterises	winterising	winterised
summerize	summerizes	summerizing	summerized
summerise	summerises	summerising	summerised
prime	primes	priming	primed
communize	communizes	communizing	communized
communise	communises	communising	communised
internationalize	internationalizes	internationalizing	internationalized
internationalise	internationalises	internationalising	internationalised
bolshevize	bolshevizes	bolshevizing	bolshevized
bolshevise	bolshevises	bolshevising	bolshevised
Americanize	Americanizes	Americanizing	Americanized
americanise	americanises	americanising	americanised
Europeanize	Europeanizes	Europeanizing	Europeanized
europeanise	europeanises	europeanising	europeanised
bestialize	bestializes	bestializing	bestialized
bestialise	bestialises	bestialising	bestialised
Frenchify	Frenchifies	Frenchifying	Frenchified
civilize	civilizes	civilizing	civilized
civilise	civilises	civilising	civilised
nationalize	nationalizes	nationalizing	nationalized
nationalise	nationalises	nationalising	nationalised
denationalize	denationalizes	denationalizing	denationalized
denationalise	denationalises	denationalising	denationalised
privatize	privatizes	privatizing	privatized
privatise	privatises	privatising	privatised
denaturalize	denaturalizes	denaturalizing	denaturalized
denaturalise	denaturalises	denaturalising	denaturalised
adopt	adopts	adopting	adopted
immigrate	immigrates	immigrating	immigrated
locate	locates	locating	located
colonize	colonizes	colonizing	colonized
colonise	colonises	colonising	colonised
relocate	relocates	relocating	relocated
dislocate	dislocates	dislocating	dislocated
homestead	homesteads	homesteading	homesteaded
roost	roosts	roosting	roosted
resettle	resettles	resettling	resettled
emigrate	emigrates	emigrating	emigrated
expatriate	expatriates	expatriating	expatriated
steady	steadies	steadying	steadied
becalm	becalms	becalming	becalmed
even	evens	evening	evened
equal	equals	equaling	equaled
match	matches	matching	matched
equalize	equalizes	equalizing	equalized
equalise	equalises	equalising	equalised
equate	equates	equating	equated
homologize	homologizes	homologizing	homologized
homologise	homologises	homologising	homologised
stiffen	stiffens	stiffening	stiffened
starch	starches	starching	starched
buckram	buckrams	buckraming	buckramed
rigidify	rigidifies	rigidifying	rigidified
constrain	constrains	constraining	constrained
loosen	loosens	loosening	loosened
loose	looses	loosing	loosed
fasten	fastens	fastening	fastened
frap	fraps	frapping	frapped
tauten	tautens	tautening	tautened
firm	firms	firming	firmed
transitivize	transitivizes	transitivizing	transitivized
transitivise	transitivises	transitivising	transitivised
detransitivize	detransitivizes	detransitivizing	detransitivized
detransitivise	detransitivises	detransitivising	detransitivised
intransitivize	intransitivizes	intransitivizing	intransitivized
intransitivise	intransitivises	intransitivising	intransitivised
slacken	slackens	slackening	slackened
absent	absents	absenting	absented
evanesce	evanesces	evanescing	evanesced
fleet	fleets	fleeting	fleeted
appear	appears	appearing	appeared
peep	peeps	peeping	peeped
manifest	manifests	manifesting	manifested
gleam	gleams	gleaming	gleamed
surface	surfaces	surfacing	surfaced
emerge	emerges	emerging	emerged
outcrop	outcrops	outcropping	outcropped
flash	flashes	flashing	flashed
resurface	resurfaces	resurfacing	resurfaced
basset	bassets	basseting	basseted
reappear	reappears	reappearing	reappeared
re-emerge	re-emerges	re-emerging	re-emerged
minimize	minimizes	minimizing	minimized
minimise	minimises	minimising	minimised
hedge	hedges	hedging	hedged
maximize	maximizes	maximizing	maximized
maximise	maximises	maximising	maximised
spill	spills	spilling	spilt
retrench	retrenches	retrenching	retrenched
slash	slashes	slashing	slashed
thicken	thickens	thickening	thickened
inspissate	inspissates	inspissating	inspissated
wane	wanes	waning	waned
slump	slumps	slumping	slumped
sink	sinks	sinking	sunk	sunken
wax	waxes	waxing	waxed
full	fulls	fulling	fulled
yield	yields	yielding	yielded
unfurl	unfurls	unfurling	unfurled
unroll	unrolls	unrolling	unrolled
furl	furls	furling	furled
bolt	bolts	bolting	bolted
diversify	diversifies	diversifying	diversified
variegate	variegates	variegating	variegated
checker	checkers	checkering	checkered
chequer	chequers	chequering	chequered
overspecialize	overspecializes	overspecializing	overspecialized
overspecialise	overspecialises	overspecialising	overspecialised
accelerate	accelerates	accelerating	accelerated
speed	speeds	speeding	speeded
decelerate	decelerates	decelerating	decelerated
retard	retards	retarding	retarded
fishtail	fishtails	fishtailing	fishtailed
rev	revs	revving	revved
slow	slows	slowing	slowed
delay	delays	delaying	delayed
minify	minifies	minifying	minified
belittle	belittles	belittling	belittled
gasify	gasifies	gasifying	gasified
aerify	aerifies	aerifying	aerified
jell	jells	jelling	jelled
congeal	congeals	congealing	congealed
curdle	curdles	curdling	curdled
liquefy	liquefies	liquefying	liquefied
liquify	liquifies	liquifying	liquified
liquidize	liquidizes	liquidizing	liquidized
liquidise	liquidises	liquidising	liquidised
solidify	solidifies	solidifying	solidified
solvate	solvates	solvating	solvated
react	reacts	reacting	reacted
resolve	resolves	resolving	resolved
etch	etches	etching	etched
validate	validates	validating	validated
invalidate	invalidates	invalidating	invalidated
vitiate	vitiates	vitiating	vitiated
populate	populates	populating	populated
people	peoples	peopling	peopled
heap	heaps	heaping	heaped
overfill	overfills	overfilling	overfilled
ink	inks	inking	inked
replenish	replenishes	replenishing	replenished
refill	refills	refilling	refilled
suffuse	suffuses	suffusing	suffused
perfuse	perfuses	perfusing	perfused
sluice	sluices	sluicing	sluiced
scour	scours	scouring	scoured
complete	completes	completing	completed
complement	complements	complementing	complemented
saturate	saturates	saturating	saturated
service	services	servicing	serviced
homogenize	homogenizes	homogenizing	homogenized
homogenise	homogenises	homogenising	homogenised
clabber	clabbers	clabberring	clabberred
coagulate	coagulates	coagulating	coagulated
sour	sours	souring	soured
ferment	ferments	fermenting	fermented
vinify	vinifies	vinifying	vinified
rush	rushes	rushing	rushed
hurry	hurries	hurrying	hurried
hasten	hastens	hastening	hastened
festinate	festinates	festinating	festinated
detain	detains	detaining	detained
stonewall	stonewalls	stonewalling	stonewalled
stall	stalls	stalling	stalled
hush	hushes	hushing	hushed
quieten	quietens	quietening	quietened
silence	silences	silencing	silenced
still	stills	stilling	stilled
louden	loudens	loudening	loudened
inhibit	inhibits	inhibiting	inhibited
conquer	conquers	conquering	conquered
burke	burkes	burking	burked
squelch	squelches	squelching	squelched
quell	quells	quelling	quelled
splat	splats	splatting	splatted
steamroll	steamrolls	steamrolling	steamrolled
steamroller	steamrollers	steamrollering	steamrollered
align	aligns	aligning	aligned
aline	alines	alining	alined
address	addresses	addressing	addrest
realign	realigns	realigning	realigned
realine	realines	realining	realined
true	trues	truing	trued
collimate	collimates	collimating	collimated
plumb	plumbs	plumbing	plumbed
luxate	luxates	luxating	luxated
splay	splays	splaying	splayed
ordinate	ordinates	ordinating	ordinated
misalign	misaligns	misaligning	misaligned
skew	skews	skewing	skewed
integrate	integrates	integrating	integrated
incorporate	incorporates	incorporating	incorporated
lysogenize	lysogenizes	lysogenizing	lysogenized
re-incorporate	re-incorporates	re-incorporating	re-incorporated
standardize	standardizes	standardizing	standardized
standardise	standardises	standardising	standardised
normalise	normalises	normalising	normalised
renormalize	renormalizes	renormalizing	renormalized
renormalise	renormalises	renormalising	renormalised
reorient	reorients	reorienting	reoriented
morph	morphs	morphing	morphed
wilt	wilts	wilting	wilted
droop	droops	drooping	drooped
neutralize	neutralizes	neutralizing	neutralized
neutralise	neutralises	neutralising	neutralised
nullify	nullifies	nullifying	nullified
negate	negates	negating	negated
commercialize	commercializes	commercializing	commercialized
commercialise	commercialises	commercialising	commercialised
market	markets	marketing	marketed
annihilate	annihilates	annihilating	annihilated
extinguish	extinguishes	extinguishing	extinguished
eradicate	eradicates	eradicating	eradicated
decimate	decimates	decimating	decimated
decouple	decouples	decoupling	decoupled
excise	excises	excising	excised
sparkle	sparkles	sparkling	sparkled
scintillate	scintillates	scintillating	scintillated
coruscate	coruscates	coruscating	coruscated
prune	prunes	pruning	pruned
rationalize	rationalizes	rationalizing	rationalized
rationalise	rationalises	rationalising	rationalised
perfect	perfects	perfecting	perfected
hone	hones	honing	honed
polish	polishes	polishing	polished
down	downs	downing	downed
overrefine	overrefines	overrefining	overrefined
over-refine	over-refines	over-refining	over-refined
precipitate	precipitates	precipitating	precipitated
purify	purifies	purifying	purified
sanctify	sanctifies	sanctifying	sanctified
spiritualize	spiritualizes	spiritualizing	spiritualized
spiritualise	spiritualises	spiritualising	spiritualised
lustrate	lustrates	lustrating	lustrated
distort	distorts	distorting	distorted
deflower	deflowers	deflowering	deflowered
stamp	stamps	stamping	stamped
massacre	massacres	massacring	massacred
slaughter	slaughters	slaughtering	slaughtered
erase	erases	erasing	erased
mechanize	mechanizes	mechanizing	mechanized
mechanise	mechanises	mechanising	mechanised
dehumanize	dehumanizes	dehumanizing	dehumanized
dehumanise	dehumanises	dehumanising	dehumanised
automatize	automatizes	automatizing	automatized
automatise	automatises	automatising	automatised
automate	automates	automating	automated
semi-automatize	semi-automatizes	semi-automatizing	semi-automatized
semi-automatise	semi-automatises	semi-automatising	semi-automatised
motorize	motorizes	motorizing	motorized
motorise	motorises	motorising	motorised
systematize	systematizes	systematizing	systematized
systematise	systematises	systematising	systematised
systemize	systemizes	systemizing	systemized
systemise	systemises	systemising	systemised
codify	codifies	codifying	codified
finalize	finalizes	finalizing	finalized
finalise	finalises	finalising	finalised
harmonize	harmonizes	harmonizing	harmonized
harmonise	harmonises	harmonising	harmonised
chord	chords	chording	chorded
reconcile	reconciles	reconciling	reconciled
key	keys	keying	keyed
conciliate	conciliates	conciliating	conciliated
compartmentalize	compartmentalizes	compartmentalizing	compartmentalized
compartmentalise	compartmentalises	compartmentalising	compartmentalised
top	tops	topping	topped
climax	climaxes	climaxing	climaxed
crown	crowns	crowning	crowned
implement	implements	implementing	implemented
adhere	adheres	adhering	adhered
fixate	fixates	fixating	fixated
glue	glues	gluing	glued
polarize	polarizes	polarizing	polarized
polarise	polarises	polarising	polarised
load	loads	loading	loaded
adulterate	adulterates	adulterating	adulterated
debase	debases	debasing	debased
leach	leaches	leaching	leached
vent	vents	venting	vented
ventilate	ventilates	ventilating	ventilated
air	airs	airing	aired
linearize	linearizes	linearizing	linearized
linearise	linearises	linearising	linearised
glorify	glorifies	glorifying	glorified
justify	justifies	justifying	justified
quantify	quantifies	quantifying	quantified
measure	measures	measuring	measured
meter	meters	metering	metered
pace	paces	pacing	paced
clock	clocks	clocking	clocked
mistime	mistimes	mistiming	mistimed
fathom	fathoms	fathoming	fathomed
sound	sounds	sounding	sounded
titrate	titrates	titrating	titrated
foul	fouls	fouling	fouled
befoul	befouls	befouling	befouled
defile	defiles	defiling	defiled
maculate	maculates	maculating	maculated
pollute	pollutes	polluting	polluted
contaminate	contaminates	contaminating	contaminated
decontaminate	decontaminates	decontaminating	decontaminated
demonetize	demonetizes	demonetizing	demonetized
demonetise	demonetises	demonetising	demonetised
isolate	isolates	isolating	isolated
insulate	insulates	insulating	insulated
segregate	segregates	segregating	segregated
ghettoize	ghettoizes	ghettoizing	ghettoized
ghettoise	ghettoises	ghettoising	ghettoised
weatherstrip	weatherstrips	weatherstripping	weatherstripped
soundproof	soundproofs	soundproofing	soundproofed
cloister	cloisters	cloistering	cloistered
sequester	sequesters	sequestering	sequestered
sequestrate	sequestrates	sequestrating	sequestrated
seclude	secludes	secluding	secluded
quarantine	quarantines	quarantining	quarantined
maroon	maroons	marooning	marooned
preisolate	preisolates	preisolating	preisolated
ammonify	ammonifies	ammonifying	ammonified
thoriate	thoriates	thoriating	thoriated
charge	charges	charging	charged
imbrue	imbrues	imbruing	imbrued
instill	instils	instilling	instilled
calcify	calcifies	calcifying	calcified
coke	cokes	coking	coked
decalcify	decalcifies	decalcifying	decalcified
carnify	carnifies	carnifying	carnified
chondrify	chondrifies	chondrifying	chondrified
citify	citifies	citifying	citified
urbanize	urbanizes	urbanizing	urbanized
urbanise	urbanises	urbanising	urbanised
industrialize	industrializes	industrializing	industrialized
industrialise	industrialises	industrialising	industrialised
emulsify	emulsifies	emulsifying	emulsified
demulsify	demulsifies	demulsifying	demulsified
denazify	denazifies	denazifying	denazified
decarboxylate	decarboxylates	decarboxylating	decarboxylated
nazify	nazifies	nazifying	nazified
denitrify	denitrifies	denitrifying	denitrified
nitrify	nitrifies	nitrifying	nitrified
topdress	topdresses	topdressing	topdressed
excite	excites	exciting	excited
innervate	innervates	innervating	innervated
pinch	pinches	pinching	pinched
vellicate	vellicates	vellicating	vellicated
nitrogenize	nitrogenizes	nitrogenizing	nitrogenized
nitrogenise	nitrogenises	nitrogenising	nitrogenised
clarify	clarifies	clarifying	clarified
detoxicate	detoxicates	detoxicating	detoxicated
devitrify	devitrifies	devitrifying	devitrified
embrittle	embrittles	embrittling	embrittled
electrify	electrifies	electrifying	electrified
wire	wires	wiring	wired
esterify	esterifies	esterifying	esterified
etherify	etherifies	etherifying	etherified
interstratify	interstratifies	interstratifying	interstratified
jellify	jellifies	jellifying	jellified
jelly	jellies	jellying	jellied
lapidify	lapidifies	lapidifying	lapidified
dot	dots	dotting	dotted
stigmatize	stigmatizes	stigmatizing	stigmatized
stigmatise	stigmatises	stigmatising	stigmatised
raddle	raddles	raddling	raddled
striate	striates	striating	striated
red-ink	red-inks	red-inking	red-inked
reline	relines	relining	relined
spot	spots	spotting	spotted	spotcheck
freckle	freckles	freckling	freckled
fox	foxes	foxing	foxed
mottle	mottles	mottling	mottled
dapple	dapples	dappling	dappled
harlequin	harlequins	harlequining	harlequined
crisscross	crisscrosses	crisscrossing	crisscrossed
star	stars	starring	starred
asterisk	asterisks	asterisking	asterisked
bark	barks	barking	barked
spume	spumes	spuming	spumed
sud	suds	sudding	sudded
disenable	disenables	disenabling	disenabled
nobble	nobbles	nobbling	nobbled
pinion	pinions	pinioning	pinioned
enable	enables	enabling	enabled
equip	equips	equipping	equipped
buffer	buffs	buffing	buffed
background	backgrounds	backgrounding	backgrounded
downplay	downplays	downplaying	downplayed
foreground	foregrounds	foregrounding	foregrounded
de-emphasize	de-emphasizes	de-emphasizing	de-emphasized
de-emphasise	de-emphasises	de-emphasising	de-emphasised
destres	destress	destressing	destressed
tender	tenders	tendering	tendered
tenderize	tenderizes	tenderizing	tenderized
tenderise	tenderises	tenderising	tenderised
process	processes	processing	processed
reverberate	reverberates	reverberating	reverberated
sulphur	sulphurs	sulphurring	sulphurred
sulfur	sulfurs	sulfurring	sulfurred
vulcanize	vulcanizes	vulcanizing	vulcanized
vulcanise	vulcanises	vulcanising	vulcanised
chrome	chromes	chroming	chromed
bituminize	bituminizes	bituminizing	bituminized
bituminise	bituminises	bituminising	bituminised
agenize	agenizes	agenizing	agenized
agenise	agenises	agenising	agenised
rerun	reruns	rerunning	reran
recharge	recharges	recharging	recharged
facilitate	facilitates	facilitating	facilitated
mystify	mystifies	mystifying	mystified
demystify	demystifies	demystifying	demystified
foam	foams	foaming	foamed
fizz	fizzes	fizzing	fizzed
effervesce	effervesces	effervescing	effervesced
sweeten	sweetens	sweetening	sweetened
disrupt	disrupts	disrupting	disrupted
de-ionate	de-ionates	de-ionating	de-ionated
iodinate	iodinates	iodinating	iodinated
de-iodinate	de-iodinates	de-iodinating	de-iodinated
ionate	ionates	ionating	ionated
upset	upsets	upsetting	upsetted
green	greens	greening	greened
blue	blues	bluing	blued
thrombose	thromboses	thrombosing	thrombosed
diagonalize	diagonalizes	diagonalizing	diagonalized
diagonalise	diagonalises	diagonalising	diagonalised
archaize	archaizes	archaizing	archaized
archaise	archaises	archaising	archaised
inform	informs	informing	informed
obtain	obtains	obtaining	obtained
incur	incurs	incurring	incurred
officialize	officializes	officializing	officialized
officialise	officialises	officialising	officialised
marbleize	marbleizes	marbleizing	marbleized
marbleise	marbleises	marbleising	marbleised
occidentalize	occidentalizes	occidentalizing	occidentalized
occidentalise	occidentalises	occidentalising	occidentalised
westernize	westernizes	westernizing	westernized
westernise	westernises	westernising	westernised
orientalize	orientalizes	orientalizing	orientalized
orientalise	orientalises	orientalising	orientalised
acetylate	acetylates	acetylating	acetylated
acetylize	acetylizes	acetylizing	acetylized
acetylise	acetylises	acetylising	acetylised
achromatize	achromatizes	achromatizing	achromatized
achromatise	achromatises	achromatising	achromatised
re-assume	re-assumes	re-assuming	re-assumed
parallel	parallels	parallelling	parallelled
ritualize	ritualizes	ritualizing	ritualized
ritualise	ritualises	ritualising	ritualised
camp	camps	camping	camped
carboxylate	carboxylates	carboxylating	carboxylated
caseate	caseates	caseating	caseated
classicize	classicizes	classicizing	classicized
classicise	classicises	classicising	classicised
clinker	clinkers	clinkering	clinkered
closure	closures	closuring	closured
cloture	clotures	cloturing	clotured
compost	composts	composting	composted
conventionalize	conventionalizes	conventionalizing	conventionalized
conventionalise	conventionalises	conventionalising	conventionalised
corn	corns	corning	corned
rally	rallies	rallying	rallied
rebound	rebounds	rebounding	rebounded
dawn	dawns	dawning	dawned
issue	issues	issuing	issued
egress	egresses	egressing	egressed
escape	escapes	scaping	scaped
debouch	debouches	debouching	debouched
decarbonize	decarbonizes	decarbonizing	decarbonized
decarbonise	decarbonises	decarbonising	decarbonised
decarburize	decarburizes	decarburizing	decarburized
decarburise	decarburises	decarburising	decarburised
decoke	decokes	decoking	decoked
decimalize	decimalizes	decimalizing	decimalized
decimalise	decimalises	decimalising	decimalised
declutch	declutches	declutching	declutched
delouse	delouses	delousing	deloused
depopulate	depopulates	depopulating	depopulated
derate	derates	derating	derated
salinate	salinates	salinating	salinated
desalinate	desalinates	desalinating	desalinated
desalt	desalts	desalting	desalted
desalinize	desalinizes	desalinizing	desalinized
desalinise	desalinises	desalinising	desalinised
detract	detracts	detracting	detracted
dizzy	dizzies	dizzying	dizzied
envenom	envenoms	envenoming	envenomed
exteriorize	exteriorizes	exteriorizing	exteriorized
exteriorise	exteriorises	exteriorising	exteriorised
externalize	externalizes	externalizing	externalized
externalise	externalises	externalising	externalised
glamorize	glamorizes	glamorizing	glamorized
glamourise	glamourises	glamourising	glamourised
glamourize	glamourizes	glamourizing	glamourized
glamorise	glamorises	glamorising	glamorised
sole	soles	soling	soled
resole	resoles	resoling	resoled
vamp	vamps	vamping	vamped
heel	heels	heeling	heeled
reheel	reheels	reheeling	reheeled
honeycomb	honeycombs	honeycombing	honeycombed
introvert	introverts	introverting	introverted
laicize	laicizes	laicizing	laicized
laicise	laicises	laicising	laicised
politicize	politicizes	politicizing	politicized
politicise	politicises	politicising	politicised
radicalize	radicalizes	radicalizing	radicalized
romanticise	romanticises	romanticising	romanticised
encrimson	encrimsons	encrimsonning	encrimsonned
vermilion	vermilions	vermilioning	vermilioned
carmine	carmines	carmining	carmined
rubify	rubifies	rubifying	rubified
rubric	rubrices	rubricking	rubricked
ruddle	ruddles	ruddling	ruddled
rusticate	rusticates	rusticating	rusticated
sauce	sauces	saucing	sauced
shallow	shallows	shallowing	shallowed
shoal	shoals	shoaling	shoaled
steepen	steepens	steepening	steepened
superannuate	superannuates	superannuating	superannuated
scramble	scrambles	scrambling	scrambled
unscramble	unscrambles	unscrambling	unscrambled
vitrify	vitrifies	vitrifying	vitrified
saponify	saponifies	saponifying	saponified
initiate	initiates	initiating	initiated
open	opens	opening	opened
territorialize	territorializes	territorializing	territorialized
territorialise	territorialises	territorialising	territorialised
globalize	globalizes	globalizing	globalized
globalise	globalises	globalising	globalised
ream	reams	reaming	reamed
outgrow	outgrows	outgrowing	outgrew	outgrown
muddy	muddies	muddying	muddied
reheat	reheats	reheating	reheated
poach	poaches	poaching	poached
elevate	elevates	elevating	elevated
dignify	dignifies	dignifying	dignified
exalt	exalts	exalting	exalted
deify	deifies	deifying	deified
harshen	harshens	harshenning	harshenned
white-out	white-outs	white-outing	white-outed
whiteout	whiteouts	whiteouting	whiteouted
dinge	dinges	dinging	dinged
batter	batters	battering	battered
crescendo	crescendoes	crescendoing	crescendoed
decrescendo	decrescendos	decrescendoing	decrescendoed
assibilate	assibilates	assibilating	assibilated
smoothen	smoothens	smoothening	smoothened
demonize	demonizes	demonizing	demonized
demonise	demonises	demonising	demonised
devilize	devilizes	devilizing	devilized
devilise	devilises	devilising	devilised
diabolize	diabolizes	diabolizing	diabolized
diabolise	diabolises	diabolising	diabolised
etherealize	etherealizes	etherealizing	etherealized
etherialise	etherialises	etherialising	etherialised
immaterialize	immaterializes	immaterializing	immaterialized
immaterialise	immaterialises	immaterialising	immaterialised
unsubstantialize	unsubstantializes	unsubstantializing	unsubstantialized
unsubstantialise	unsubstantialises	unsubstantialising	unsubstantialised
animize	animizes	animizing	animized
animise	animises	animising	animised
murder	murders	murdering	murdered
save	saves	saving	saved
transition	transitions	transitioning	transitioned
surf	surfs	surfing	surfed
channel-surf	channel-surfs	channel-surfing	channel-surfed
dynamize	dynamizes	dynamizing	dynamized
dynamise	dynamises	dynamising	dynamised
concretize	concretizes	concretizing	concretized
concretise	concretises	concretising	concretised
volatilize	volatilizes	volatilizing	volatilized
volatilise	volatilises	volatilising	volatilised
uniformize	uniformizes	uniformizing	uniformized
uniformise	uniformises	uniformising	uniformised
symmetrize	symmetrizes	symmetrizing	symmetrized
symmetrise	symmetrises	symmetrising	symmetrised
immortalize	immortalizes	immortalizing	immortalized
immortalise	immortalises	immortalising	immortalised
eternize	eternizes	eternizing	eternized
eternise	eternises	eternising	eternised
eternalize	eternalizes	eternalizing	eternalized
eternalise	eternalises	eternalising	eternalised
denature	denatures	denaturing	denatured
sanitize	sanitizes	sanitizing	sanitized
sanitise	sanitises	sanitising	sanitised
verbify	verbifies	verbifying	verbified
introject	introjects	introjecting	introjected
transfer	transfers	transferring	transferred
transplant	transplants	transplanting	transplanted
brush	brushes	brushing	brushed
transcribe	transcribes	transcribing	transcribed
swing	swings	swinging	swung
lull	lulls	lulling	lulled
prostrate	prostrates	prostrating	prostrated
outmode	outmodes	outmoding	outmoded
spice	spices	spicing	spiced
leap	leaps	leaping	leapt
veer	veers	veering	veered
think	thinks	thinking	thought
format	formats	formatting	formatted
initialize	initializes	initializing	initialized
initialise	initialises	initialising	initialised
digitize	digitizes	digitizing	digitized
digitise	digitises	digitising	digitised
digitalise	digitalises	digitalising	digitalised
hydrolyze	hydrolyzes	hydrolyzing	hydrolyzed
hydrolyse	hydrolyses	hydrolysing	hydrolysed
hydrolize	hydrolizes	hydrolizing	hydrolized
hydrolise	hydrolises	hydrolising	hydrolised
saccharify	saccharifies	saccharifying	saccharified
rumple	rumples	rumpling	rumpled
crumple	crumples	crumpling	crumpled
wrinkle	wrinkles	wrinkling	wrinkled
crease	creases	creasing	creased
crinkle	crinkles	crinkling	crinkled
gelatinize	gelatinizes	gelatinizing	gelatinized
gelatinise	gelatinises	gelatinising	gelatinised
feel	feels	feeling	felt
matt-up	matt-ups	matt-upping	matt-upped
matte	mattes	matting	matted
mat	mats	matting	matted
float	floats	floating	floated
feminize	feminizes	feminizing	feminized
feminise	feminises	feminising	feminised
effeminize	effeminizes	effeminizing	effeminized
effeminise	effeminises	effeminising	effeminised
womanize	womanizes	womanizing	womanized
masculinize	masculinizes	masculinizing	masculinized
masculinise	masculinises	masculinising	masculinised
virilize	virilizes	virilizing	virilized
virilise	virilises	virilising	virilised
disharmonize	disharmonizes	disharmonizing	disharmonized
dissonate	dissonates	dissonating	dissonated
obsolesce	obsolesces	obsolescing	obsolesced
sexualize	sexualizes	sexualizing	sexualized
sexualise	sexualises	sexualising	sexualised
schematize	schematizes	schematizing	schematized
schematise	schematises	schematising	schematised
patent	patents	patenting	patented
constitutionalize	constitutionalizes	constitutionalizing	constitutionalized
constitutionalise	constitutionalises	constitutionalising	constitutionalised
stalinize	stalinizes	stalinizing	stalinized
stalinise	stalinises	stalinising	stalinised
destalinize	destalinizes	destalinizing	destalinized
destalinise	destalinises	destalinising	destalinised
plasticize	plasticizes	plasticizing	plasticized
plasticise	plasticises	plasticising	plasticised
scrap	scraps	scrapping	scrapped
desorb	desorbs	desorbing	desorbed
recede	recedes	receding	receded
ebb	ebbs	ebbing	ebbed
drift	drifts	drifting	drifted
paganize	paganizes	paganizing	paganized
paganise	paganises	paganising	paganised
defervesce	defervesces	defervescing	defervesced
incandesce	incandesces	incandescing	incandesced
deaminate	deaminates	deaminating	deaminated
deaminize	deaminizes	deaminizing	deaminized
angulate	angulates	angulating	angulated
circularize	circularizes	circularizing	circularized
depolarize	depolarizes	depolarizing	depolarized
depolarise	depolarises	depolarising	depolarised
demineralize	demineralizes	demineralizing	demineralized
demineralise	demineralises	demineralising	demineralised
isomerize	isomerizes	isomerizing	isomerized
isomerise	isomerises	isomerising	isomerised
legitimate	legitimates	legitimating	legitimated
gradate	gradates	gradating	gradated
keratinize	keratinizes	keratinizing	keratinized
keratinise	keratinises	keratinising	keratinised
beneficiate	beneficiates	beneficiating	beneficiated
novate	novates	novating	novated
opacify	opacifies	opacifying	opacified
opsonize	opsonizes	opsonizing	opsonized
militarize	militarizes	militarizing	militarized
militarise	militarises	militarising	militarised
